doc_id,author,title,part_id,n_words,text
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,288,208,"But we have taken care of that. Nobody will get lost in that cave any
more.”

 “Why?”

“Because I had its big door sheathed with boiler iron two weeks ago, and
triple-locked—and I’ve got the keys.”

Tom turned as white as a sheet.

 “What’s the matter, boy! Here, run, somebody! Fetch a glass of water!”

 The water was brought and thrown into Tom’s face.

 “Ah, now you’re all right. What was the matter with you, Tom?”

“Oh, Judge, Injun Joe’s in the cave!”

CHAPTER XXXIII

Within a few minutes the news had spread, and a dozen skiff-loads of
men were on their way to McDougal’s cave, and the ferryboat, well filled
with passengers, soon followed. Tom Sawyer was in the skiff that bore
Judge Thatcher.

 When the cave door was unlocked, a sorrowful sight presented itself in
the dim twilight of the place. Injun Joe lay stretched upon the ground,
dead, with his face close to the crack of the door, as if his longing
eyes had been fixed, to the latest moment, upon the light and the cheer
of the free world outside. Tom was touched, for he knew by his own
experience how this wretch had suffered."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,219,261,"Towards night it begun to darken up and look like rain; the heat
lightning was squirting around low down in the sky, and the leaves was
beginning to shiver—it was going to be pretty ugly, it was easy to see
that. So the duke and the king went to overhauling our wigwam, to see
what the beds was like. My bed was a straw tick better than Jim’s,
which was a corn-shuck tick; there’s always cobs around about in a
shuck tick, and they poke into you and hurt; and when you roll over the
dry shucks sound like you was rolling over in a pile of dead leaves; it
makes such a rustling that you wake up. Well, the duke allowed he would
take my bed; but the king allowed he wouldn’t. He says:

“I should a reckoned the difference in rank would a sejested to you
that a corn-shuck bed warn’t just fitten for me to sleep on. Your
Grace’ll take the shuck bed yourself.”

 Jim and me was in a sweat again for a minute, being afraid there was
going to be some more trouble amongst them; so we was pretty glad when
the duke says:

“’Tis my fate to be always ground into the mire under the iron heel of
oppression. Misfortune has broken my once haughty spirit; I yield, I
submit; ’tis my fate. I am alone in the world—let me suffer; I can bear
it.”

 We got away as soon as it was good and dark."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,159,232,"I said:

“Do what you choose.”

 She was up and facing toward the queen in a moment. She indicated
me, and said:

“Madame, _he_ saith this may not be. Recall the commandment, or he
will dissolve the castle and it shall vanish away like the instable
fabric of a dream!”

 Confound it, what a crazy contract to pledge a person to! What if
the queen--

But my consternation subsided there, and my panic passed off;
for the queen, all in a collapse, made no show of resistance but
gave a countermanding sign and sunk into her seat. When she reached
it she was sober. So were many of the others. The assemblage rose,
whiffed ceremony to the winds, and rushed for the door like a mob;
overturning chairs, smashing crockery, tugging, struggling,
shouldering, crowding--anything to get out before I should change
my mind and puff the castle into the measureless dim vacancies of
space. Well, well, well, they _were_ a superstitious lot. It is
all a body can do to conceive of it.

 The poor queen was so scared and humbled that she was even afraid
to hang the composer without first consulting me. I was very sorry
for her--indeed, any one would have been, for she was really
suffering; so I was willing to do anything that was reasonable, and
had no desire to carry things to wanton extremities."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,363,239,"Elizabeth felt that they had entirely mistaken his character, but said
nothing.

 “From what we have seen of him,” continued Mrs. Gardiner, “I really
should not have thought that he could have behaved in so cruel a way by
anybody as he has done by poor Wickham. He has not an ill-natured look.
 On the contrary, there is something pleasing about his mouth when he
speaks. And there is something of dignity in his countenance, that would
not give one an unfavourable idea of his heart. But, to be sure, the
good lady who showed us the house did give him a most flaming character!
 I could hardly help laughing aloud sometimes. But he is a liberal
master, I suppose, and _that_, in the eye of a servant, comprehends
every virtue.”

 Elizabeth here felt herself called on to say something in vindication of
his behaviour to Wickham; and, therefore, gave them to understand, in as
guarded a manner as she could, that by what she had heard from his
relations in Kent, his actions were capable of a very different
construction; and that his character was by no means so faulty, nor
Wickham’s so amiable, as they had been considered in Hertfordshire. In
confirmation of this, she related the particulars of all the pecuniary
transactions in which they had been connected, without actually naming
her authority, but stating it to be such as might be relied on."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,107,240,"[Illustration]

During dinner, Mr. Bennet scarcely spoke at all; but when the servants
were withdrawn, he thought it time to have some conversation with his
guest, and therefore started a subject in which he expected him to
shine, by observing that he seemed very fortunate in his patroness. Lady
Catherine de Bourgh’s attention to his wishes, and consideration for his
comfort, appeared very remarkable. Mr. Bennet could not have chosen
better. Mr. Collins was eloquent in her praise. The subject elevated him
to more than usual solemnity of manner; and with a most important aspect
he protested that he had never in his life witnessed such behaviour in a
person of rank--such affability and condescension, as he had himself
experienced from Lady Catherine. She had been graciously pleased to
approve of both the discourses which he had already had the honour of
preaching before her. She had also asked him twice to dine at Rosings,
and had sent for him only the Saturday before, to make up her pool of
quadrille in the evening. Lady Catherine was reckoned proud by many
people, he knew, but _he_ had never seen anything but affability in her.
 She had always spoken to him as she would to any other gentleman; she
made not the smallest objection to his joining in the society of the
neighbourhood, nor to his leaving his parish occasionally for a week or
two to visit his relations."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,72,255,"So I
got all my traps into my canoe again so as to have them out of sight,
and I put out the fire and scattered the ashes around to look like an
old last year’s camp, and then clumb a tree.

 I reckon I was up in the tree two hours; but I didn’t see nothing, I
didn’t hear nothing—I only _thought_ I heard and seen as much as a
thousand things. Well, I couldn’t stay up there forever; so at last I
got down, but I kept in the thick woods and on the lookout all the
time. All I could get to eat was berries and what was left over from
breakfast.

 By the time it was night I was pretty hungry. So when it was good and
dark I slid out from shore before moonrise and paddled over to the
Illinois bank—about a quarter of a mile. I went out in the woods and
cooked a supper, and I had about made up my mind I would stay there all
night when I hear a _plunkety-plunk, plunkety-plunk_, and says to
myself, horses coming; and next I hear people’s voices. I got
everything into the canoe as quick as I could, and then went creeping
through the woods to see what I could find out. I hadn’t got far when I
hear a man say:

“We better camp here if we can find a good place; the horses is about
beat out."
Jane Austen::Sense and Sensibility,Jane Austen,Sense and Sensibility,280,244,"Elinor wished that the same forbearance could have extended towards
herself, but that was impossible, and she was obliged to listen day
after day to the indignation of them all.

 Sir John, could not have thought it possible. “A man of whom he had
always had such reason to think well! Such a good-natured fellow! He
did not believe there was a bolder rider in England! It was an
unaccountable business. He wished him at the devil with all his heart.
 He would not speak another word to him, meet him where he might, for
all the world! No, not if it were to be by the side of Barton covert,
and they were kept watching for two hours together. Such a scoundrel of
a fellow! such a deceitful dog! It was only the last time they met that
he had offered him one of Folly’s puppies! and this was the end of it!”

Mrs. Palmer, in her way, was equally angry. “She was determined to drop
his acquaintance immediately, and she was very thankful that she had
never been acquainted with him at all. She wished with all her heart
Combe Magna was not so near Cleveland; but it did not signify, for it
was a great deal too far off to visit; she hated him so much that she
was resolved never to mention his name again, and she should tell
everybody she saw, how good-for-nothing he was.”"
Mark Twain::The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,132,225,"You’d be
a disgrace.”

 The Red-Handed made no response, being better employed. He had finished
gouging out a cob, and now he fitted a weed stem to it, loaded it with
tobacco, and was pressing a coal to the charge and blowing a cloud of
fragrant smoke—he was in the full bloom of luxurious contentment. The
other pirates envied him this majestic vice, and secretly resolved to
acquire it shortly. Presently Huck said:

“What does pirates have to do?”

Tom said:

“Oh, they have just a bully time—take ships and burn them, and get the
money and bury it in awful places in their island where there’s ghosts
and things to watch it, and kill everybody in the ships—make ’em walk a
plank.”

 “And they carry the women to the island,” said Joe; “they don’t kill the
women.”

 “No,” assented Tom, “they don’t kill the women—they’re too noble. And
the women’s always beautiful, too.”

 “And don’t they wear the bulliest clothes! Oh no! All gold and silver
and di’monds,” said Joe, with enthusiasm.

 “Who?” said Huck.

 “Why, the pirates.”

 Huck scanned his own clothing forlornly.

 “I reckon I ain’t dressed fitten for a pirate,” said he, with a
regretful pathos in his voice; “but I ain’t got none but these.”"
Jane Austen::Emma,Jane Austen,Emma,83,264,"They would be estimated very
differently by others as well as myself; Mr. Martin may be the richest
of the two, but he is undoubtedly her inferior as to rank in
society.—The sphere in which she moves is much above his.—It would be a
degradation.”

 “A degradation to illegitimacy and ignorance, to be married to a
respectable, intelligent gentleman-farmer!”

“As to the circumstances of her birth, though in a legal sense she may
be called Nobody, it will not hold in common sense. She is not to pay
for the offence of others, by being held below the level of those with
whom she is brought up.—There can scarcely be a doubt that her father
is a gentleman—and a gentleman of fortune.—Her allowance is very
liberal; nothing has ever been grudged for her improvement or
comfort.—That she is a gentleman’s daughter, is indubitable to me; that
she associates with gentlemen’s daughters, no one, I apprehend, will
deny.—She is superior to Mr. Robert Martin.”

 “Whoever might be her parents,” said Mr. Knightley, “whoever may have
had the charge of her, it does not appear to have been any part of
their plan to introduce her into what you would call good society.
 After receiving a very indifferent education she is left in Mrs.
Goddard’s hands to shift as she can;—to move, in short, in Mrs.
Goddard’s line, to have Mrs. Goddard’s acquaintance. Her friends
evidently thought this good enough for her; and it _was_ good enough.
 She desired nothing better herself."
Jane Austen::Emma,Jane Austen,Emma,471,205,"It was some
comfort to him that many inquiries after himself and Miss Woodhouse
(for his neighbours knew that he loved to be inquired after), as well
as Miss Smith, were coming in during the rest of the day; and he had
the pleasure of returning for answer, that they were all very
indifferent—which, though not exactly true, for she was perfectly well,
and Harriet not much otherwise, Emma would not interfere with. She had
an unhappy state of health in general for the child of such a man, for
she hardly knew what indisposition was; and if he did not invent
illnesses for her, she could make no figure in a message.

 The gipsies did not wait for the operations of justice; they took
themselves off in a hurry. The young ladies of Highbury might have
walked again in safety before their panic began, and the whole history
dwindled soon into a matter of little importance but to Emma and her
nephews:—in her imagination it maintained its ground, and Henry and
John were still asking every day for the story of Harriet and the
gipsies, and still tenaciously setting her right if she varied in the
slightest particular from the original recital."
Jane Austen::Emma,Jane Austen,Emma,409,268,"The two eldest little
Knightleys were engaged to pay their grandpapa and aunt a visit of some
weeks in the spring, and their papa now proposed bringing them, and
staying one whole day at Hartfield—which one day would be the very day
of this party.—His professional engagements did not allow of his being
put off, but both father and daughter were disturbed by its happening
so. Mr. Woodhouse considered eight persons at dinner together as the
utmost that his nerves could bear—and here would be a ninth—and Emma
apprehended that it would be a ninth very much out of humour at not
being able to come even to Hartfield for forty-eight hours without
falling in with a dinner-party.

 She comforted her father better than she could comfort herself, by
representing that though he certainly would make them nine, yet he
always said so little, that the increase of noise would be very
immaterial. She thought it in reality a sad exchange for herself, to
have him with his grave looks and reluctant conversation opposed to her
instead of his brother.

 The event was more favourable to Mr. Woodhouse than to Emma. John
Knightley came; but Mr. Weston was unexpectedly summoned to town and
must be absent on the very day. He might be able to join them in the
evening, but certainly not to dinner. Mr. Woodhouse was quite at ease;
and the seeing him so, with the arrival of the little boys and the
philosophic composure of her brother on hearing his fate, removed the
chief of even Emma’s vexation."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,90,252,"[_Copyright 1894 by George Allen._]]

CHAPTER XI.

 [Illustration]

When the ladies removed after dinner Elizabeth ran up to her sister, and
seeing her well guarded from cold, attended her into the drawing-room,
where she was welcomed by her two friends with many professions of
pleasure; and Elizabeth had never seen them so agreeable as they were
during the hour which passed before the gentlemen appeared. Their powers
of conversation were considerable. They could describe an entertainment
with accuracy, relate an anecdote with humour, and laugh at their
acquaintance with spirit.

 But when the gentlemen entered, Jane was no longer the first object;
Miss Bingley’s eyes were instantly turned towards Darcy, and she had
something to say to him before he had advanced many steps. He addressed
himself directly to Miss Bennet with a polite congratulation; Mr. Hurst
also made her a slight bow, and said he was “very glad;” but diffuseness
and warmth remained for Bingley’s salutation. He was full of joy and
attention. The first half hour was spent in piling up the fire, lest she
should suffer from the change of room; and she removed, at his desire,
to the other side of the fireplace, that she might be farther from the
door. He then sat down by her, and talked scarcely to anyone else.
 Elizabeth, at work in the opposite corner, saw it all with great
delight.

 When tea was over Mr. Hurst reminded his sister-in-law of the
card-table--but in vain."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,178,230,"He scarcely ever spoke to
her; and the assiduous attentions which he had been so sensible of
himself were transferred for the rest of the day to Miss Lucas, whose
civility in listening to him was a seasonable relief to them all, and
especially to her friend.

 The morrow produced no abatement of Mrs. Bennet’s ill humour or ill
health. Mr. Collins was also in the same state of angry pride. Elizabeth
had hoped that his resentment might shorten his visit, but his plan did
not appear in the least affected by it. He was always to have gone on
Saturday, and to Saturday he still meant to stay.

 After breakfast, the girls walked to Meryton, to inquire if Mr. Wickham
were returned, and to lament over his absence from the Netherfield ball.
 He joined them on their entering the town, and attended them to their
aunt’s, where his regret and vexation and the concern of everybody were
well talked over. To Elizabeth, however, he voluntarily acknowledged
that the necessity of his absence _had_ been self-imposed.

 “I found,” said he, “as the time drew near, that I had better not meet
Mr. Darcy;--that to be in the same room, the same party with him for so
many hours together, might be more than I could bear, and that scenes
might arise unpleasant to more than myself.”"
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,235,256,"Then he strikes a most noble attitude, with one leg shoved
forwards, and his arms stretched away up, and his head tilted back,
looking up at the sky; and then he begins to rip and rave and grit his
teeth; and after that, all through his speech, he howled, and spread
around, and swelled up his chest, and just knocked the spots out of any
acting ever _I_ see before. This is the speech—I learned it, easy
enough, while he was learning it to the king:

To be, or not to be; that is the bare bodkin
That makes calamity of so long life;
For who would fardels bear, till Birnam Wood do come to Dunsinane,
But that the fear of something after death
Murders the innocent sleep,
Great nature’s second course,
And makes us rather sling the arrows of outrageous fortune
Than fly to others that we know not of.
 There’s the respect must give us pause:
 Wake Duncan with thy knocking! I would thou couldst;
 For who would bear the whips and scorns of time,
The oppressor’s wrong, the proud man’s contumely,
The law’s delay, and the quietus which his pangs might take.
 In the dead waste and middle of the night, when churchyards yawn
In customary suits of solemn black,
But that the undiscovered country from whose bourne no traveler
returns,
Breathes forth contagion on the world,
And thus the native hue of resolution, like the poor cat i’ the adage,
Is sicklied o’er with care."
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,350,257,"The minute I was far enough above the town to see I could make the
tow-head, I begun to look sharp for a boat to borrow, and the first time
the lightning showed me one that wasn’t chained I snatched it and
shoved. It was a canoe, and warn’t fastened with nothing but a rope.
 The tow-head was a rattling big distance off, away out there in the
middle of the river, but I didn’t lose no time; and when I struck the
raft at last I was so fagged I would a just laid down to blow and gasp
if I could afforded it. But I didn’t. As I sprung aboard I sung out:

“Out with you, Jim, and set her loose! Glory be to goodness, we’re shut
of them!”

 Jim lit out, and was a-coming for me with both arms spread, he was so
full of joy; but when I glimpsed him in the lightning my heart shot up
in my mouth and I went overboard backwards; for I forgot he was old
King Lear and a drownded A-rab all in one, and it most scared the
livers and lights out of me. But Jim fished me out, and was going to
hug me and bless me, and so on, he was so glad I was back and we was
shut of the king and the duke, but I says:

“Not now; have it for breakfast, have it for breakfast! Cut loose and
let her slide!”"
Mark Twain::Adventures of Huckleberry Finn,Mark Twain,Adventures of Huckleberry Finn,89,248,"Daytimes we paddled all over the island in the canoe, It was mighty
cool and shady in the deep woods, even if the sun was blazing outside.
 We went winding in and out amongst the trees, and sometimes the vines
hung so thick we had to back away and go some other way. Well, on every
old broken-down tree you could see rabbits and snakes and such things;
and when the island had been overflowed a day or two they got so tame,
on account of being hungry, that you could paddle right up and put your
hand on them if you wanted to; but not the snakes and turtles—they
would slide off in the water. The ridge our cavern was in was full of
them. We could a had pets enough if we’d wanted them.

 One night we catched a little section of a lumber raft—nice pine
planks. It was twelve foot wide and about fifteen or sixteen foot long,
and the top stood above water six or seven inches—a solid, level floor.
 We could see saw-logs go by in the daylight sometimes, but we let them
go; we didn’t show ourselves in daylight.

 Another night when we was up at the head of the island, just before
daylight, here comes a frame-house down, on the west side. She was a
two-story, and tilted over considerable. We paddled out and got
aboard—clumb in at an upstairs window."
Mark Twain::A Connecticut Yankee in King Arthur's Court,Mark Twain,A Connecticut Yankee in King Arthur's Court,42,205,"I took quick note of that; it
indicated that a humbug didn't need to have a reputation in this
asylum; people stood ready to take him at his word, without that.
 I resumed.

 “I've known Merlin seven hundred years, and he--”

“Seven hun--”

“Don't interrupt me. He has died and come alive again thirteen
times, and traveled under a new name every time: Smith, Jones,
Robinson, Jackson, Peters, Haskins, Merlin--a new alias every
time he turns up. I knew him in Egypt three hundred years ago;
I knew him in India five hundred years ago--he is always blethering
around in my way, everywhere I go; he makes me tired. He don't
amount to shucks, as a magician; knows some of the old common
tricks, but has never got beyond the rudiments, and never will.
 He is well enough for the provinces--one-night stands and that
sort of thing, you know--but dear me, _he_ oughtn't to set up for
an expert--anyway not where there's a real artist. Now look here,
Clarence, I am going to stand your friend, right along, and in
return you must be mine. I want you to do me a favor."
Jane Austen::Pride and Prejudice,Jane Austen,Pride and Prejudice,145,241,"At length Darcy spoke, and in a
constrained manner said,--

“Mr. Wickham is blessed with such happy manners as may insure his
_making_ friends; whether he may be equally capable of _retaining_ them,
is less certain.”

 “He has been so unlucky as to lose your friendship,” replied Elizabeth,
with emphasis, “and in a manner which he is likely to suffer from all
his life.”

 Darcy made no answer, and seemed desirous of changing the subject. At
that moment Sir William Lucas appeared close to them, meaning to pass
through the set to the other side of the room; but, on perceiving Mr.
Darcy, he stopped, with a bow of superior courtesy, to compliment him on
his dancing and his partner.

 “I have been most highly gratified, indeed, my dear sir; such very
superior dancing is not often seen. It is evident that you belong to the
first circles. Allow me to say, however, that your fair partner does not
disgrace you: and that I must hope to have this pleasure often repeated,
especially when a certain desirable event, my dear Miss Eliza (glancing
at her sister and Bingley), shall take place. What congratulations will
then flow in! I appeal to Mr. Darcy;--but let me not interrupt you, sir.
 You will not thank me for detaining you from the bewitching converse of
that young lady, whose bright eyes are also upbraiding me.”

 [Illustration:

“Such very superior dancing is not
often seen.”"
